name,pop_2008,pop_2018,bagrut_2018,academic_2018,academic_2008,bagrut_2008,shnot_limud_16_plus_2008,shnot_limud_16_plus_2018,year_median_imcome_2018,year_median_imcome_2008,mounth_median_imcome_2008,mounth_median_imcome_2018,groth_rate,bagrut_groth_rate,academic_groth_rate,income_groth_rate,shiur_bagrut_2008,shiur_bagrut_2018,shiur_academic_2008,shiur_academic_2018,pop_groth_rate,e_s_normal_grouth
תרום,543,899, , , , , , , , , , ,.655616942909761, , , , , , , ,65.5616942909761,0
תקוע,1443,3882,1514,942, , , ,1404,79800, , ,7600,1.69022869022869, , , , ,39.0005151983514, ,24.2658423493045,169.022869022869,0
תקומה,527,699, , , , , , , , , , ,.326375711574953, , , , , , , ,32.6375711574953,0
תפרח,2501,2163,285,85, , , ,953,48700, , ,4700,-.135145941623351, , , , ,13.1761442441054, ,3.9297272306981,-13.5145941623351,1
תעוז,495,615, , , , , , , , , , ,.242424242424242, , , , , , , ,24.2424242424242,0
תנובות,736,846, , , , , , , , , , ,.14945652173913, , , , , , , ,14.945652173913,0
תמרת,1387,1303, , , , , , , , , , ,-.06056236481615, , , , , , , ,-6.056236481615,0
תלמים,886,912, , , , , , , , , , ,.0293453724604966, , , , , , , ,2.93453724604966,0
תלמי יפה,402,833, , , , , , , , , , ,1.07213930348259, , , , , , , ,107.213930348259,0
תלמי יחיאל,782,985, , , , , , , , , , ,.259590792838875, , , , , , , ,25.9590792838875,0
תלמי יוסף,232,324, , , , , , , , , , ,.396551724137931, , , , , , , ,39.6551724137931,0
"תלמי ביל""ו",372,504, , , , , , , , , , ,.354838709677419, , , , , , , ,35.4838709677419,0
תלמי אלעזר,631,898, , , , , , , , , , ,.423137876386688, , , , , , , ,42.3137876386688,0
תלמי אליהו,271,313, , , , , , , , , , ,.154981549815498, , , , , , , ,15.4981549815498,0
תלם,200,432, , , , , , , , , , ,1.16, , , , , , , ,116,0
תל תאומים,369,543, , , , , , , , , , ,.471544715447154, , , , , , , ,47.1544715447154,0
תל שבע,14655,20204,2539,635,242,1032,5221,8689,46400,38300,4200,5300,.378642101671784,1.46027131782946,1.62396694214876,.261904761904762,7.04196519959058,12.5668184517917,1.65131354486523,3.14294199168481,37.8642101671784,0
תל קציר,281,405, , , , , , , , , , ,.441281138790035, , , , , , , ,44.1281138790035,0
תל עדשים,1083,1481, , , , , , , , , , ,.367497691597415, , , , , , , ,36.7497691597415,0
תל מונד,9999,12862,5859,3355,2041,3374,4840,6824,102700,83400,7600,9500,.286328632863286,.736514522821577,.643802057814797,.25,33.7433743374337,45.5527911677811,20.4120412041204,26.0845902658995,28.6328632863286,0
תל יצחק,655,1017, , , , , , , , , , ,.552671755725191, , , , , , , ,55.2671755725191,0
תל יוסף,497,549, , , , , , , , , , ,.104627766599598, , , , , , , ,10.4627766599598,0
תל אביב -יפו 947,4433,4752,1944,929,739,1612,2650,3062,88900,61400,5400,7900,.0719602977667493,.205955334987593,.257104194857916,.462962962962963,36.3636363636364,40.9090909090909,16.6704263478457,19.5496632996633,7.19602977667493,1
תל אביב -יפו 946,3198,3382,1398,641,576,1204,1936,2202,87100,61000,5500,7700,.0575359599749843,.161129568106312,.112847222222222,.4,37.6485303314572,41.3364872856298,18.0112570356473,18.9532820816085,5.75359599749843,1
